image_id,filename,filepath,category,source_dataset,title,description,width,height,source_type,degradation_type,degradation_level,human_score,notes
CLO_001,CLO_001.jpg,dataset/originals/clothing/CLO_001.jpg,clothing,bootstrap_existing_dataset,CLO_001,CLO_001,800,800,original,,,,Recovered from existing dataset files.
CLO_002,CLO_002.jpg,dataset/originals/clothing/CLO_002.jpg,clothing,bootstrap_existing_dataset,CLO_002,CLO_002,2000,2000,original,,,,Recovered from existing dataset files.
CLO_003,CLO_003.jpg,dataset/originals/clothing/CLO_003.jpg,clothing,bootstrap_existing_dataset,CLO_003,CLO_003,886,1024,original,,,,Recovered from existing dataset files.
CLO_004,CLO_004.jpg,dataset/originals/clothing/CLO_004.jpg,clothing,bootstrap_existing_dataset,CLO_004,CLO_004,2000,2000,original,,,,Recovered from existing dataset files.
CLO_005,CLO_005.jpg,dataset/originals/clothing/CLO_005.jpg,clothing,bootstrap_existing_dataset,CLO_005,CLO_005,1000,1000,original,,,,Recovered from existing dataset files.
CLO_006,CLO_006.jpg,dataset/originals/clothing/CLO_006.jpg,clothing,bootstrap_existing_dataset,CLO_006,CLO_006,1500,1500,original,,,,Recovered from existing dataset files.
CLO_007,CLO_007.jpg,dataset/originals/clothing/CLO_007.jpg,clothing,bootstrap_existing_dataset,CLO_007,CLO_007,1200,1440,original,,,,Recovered from existing dataset files.
CLO_008,CLO_008.jpg,dataset/originals/clothing/CLO_008.jpg,clothing,bootstrap_existing_dataset,CLO_008,CLO_008,2250,3000,original,,,,Recovered from existing dataset files.
CLO_009,CLO_009.jpg,dataset/originals/clothing/CLO_009.jpg,clothing,bootstrap_existing_dataset,CLO_009,CLO_009,800,1200,original,,,,Recovered from existing dataset files.
CLO_010,CLO_010.jpg,dataset/originals/clothing/CLO_010.jpg,clothing,bootstrap_existing_dataset,CLO_010,CLO_010,1000,1233,original,,,,Recovered from existing dataset files.
CLO_011,CLO_011.jpg,dataset/originals/clothing/CLO_011.jpg,clothing,bootstrap_existing_dataset,CLO_011,CLO_011,800,800,original,,,,Recovered from existing dataset files.
CLO_012,CLO_012.jpg,dataset/originals/clothing/CLO_012.jpg,clothing,bootstrap_existing_dataset,CLO_012,CLO_012,1000,1000,original,,,,Recovered from existing dataset files.
CLO_013,CLO_013.jpg,dataset/originals/clothing/CLO_013.jpg,clothing,bootstrap_existing_dataset,CLO_013,CLO_013,800,800,original,,,,Recovered from existing dataset files.
CLO_014,CLO_014.jpg,dataset/originals/clothing/CLO_014.jpg,clothing,bootstrap_existing_dataset,CLO_014,CLO_014,1000,1000,original,,,,Recovered from existing dataset files.
CLO_015,CLO_015.jpg,dataset/originals/clothing/CLO_015.jpg,clothing,bootstrap_existing_dataset,CLO_015,CLO_015,2362,2362,original,,,,Recovered from existing dataset files.
CLO_016,CLO_016.jpg,dataset/originals/clothing/CLO_016.jpg,clothing,bootstrap_existing_dataset,CLO_016,CLO_016,1000,1000,original,,,,Recovered from existing dataset files.
CLO_017,CLO_017.jpg,dataset/originals/clothing/CLO_017.jpg,clothing,bootstrap_existing_dataset,CLO_017,CLO_017,2400,2400,original,,,,Recovered from existing dataset files.
CLO_018,CLO_018.jpg,dataset/originals/clothing/CLO_018.jpg,clothing,bootstrap_existing_dataset,CLO_018,CLO_018,1400,1400,original,,,,Recovered from existing dataset files.
CLO_019,CLO_019.jpg,dataset/originals/clothing/CLO_019.jpg,clothing,bootstrap_existing_dataset,CLO_019,CLO_019,800,800,original,,,,Recovered from existing dataset files.
CLO_020,CLO_020.jpg,dataset/originals/clothing/CLO_020.jpg,clothing,bootstrap_existing_dataset,CLO_020,CLO_020,1800,1790,original,,,,Recovered from existing dataset files.
CLO_021,CLO_021.jpg,dataset/originals/clothing/CLO_021.jpg,clothing,bootstrap_existing_dataset,CLO_021,CLO_021,1201,1800,original,,,,Recovered from existing dataset files.
CLO_022,CLO_022.jpg,dataset/originals/clothing/CLO_022.jpg,clothing,bootstrap_existing_dataset,CLO_022,CLO_022,1200,1200,original,,,,Recovered from existing dataset files.
CLO_023,CLO_023.jpg,dataset/originals/clothing/CLO_023.jpg,clothing,bootstrap_existing_dataset,CLO_023,CLO_023,1000,1500,original,,,,Recovered from existing dataset files.
CLO_024,CLO_024.jpg,dataset/originals/clothing/CLO_024.jpg,clothing,bootstrap_existing_dataset,CLO_024,CLO_024,1500,971,original,,,,Recovered from existing dataset files.
CLO_025,CLO_025.jpg,dataset/originals/clothing/CLO_025.jpg,clothing,bootstrap_existing_dataset,CLO_025,CLO_025,1000,1000,original,,,,Recovered from existing dataset files.
CLO_026,CLO_026.jpg,dataset/originals/clothing/CLO_026.jpg,clothing,bootstrap_existing_dataset,CLO_026,CLO_026,800,1067,original,,,,Recovered from existing dataset files.
CLO_027,CLO_027.jpg,dataset/originals/clothing/CLO_027.jpg,clothing,bootstrap_existing_dataset,CLO_027,CLO_027,1200,1800,original,,,,Recovered from existing dataset files.
